,count,pct
ps_car_03_cat,411231,69.08983689844963
ps_car_05_cat,266551,44.78253126617071
ps_reg_03,107772,18.106489788512327
ps_car_14,42620,7.160473915176441
ps_car_07_cat,11489,1.9302366215734896
ps_ind_05_cat,5809,0.975954785857812
ps_car_09_cat,569,0.09559619093701067
ps_ind_02_cat,216,0.036289590935666624
ps_car_01_cat,107,0.01797678810239041
ps_ind_04_cat,83,0.013944611331760785
ps_car_11,5,0.0008400368272145051
ps_car_02_cat,5,0.0008400368272145051
ps_car_12,1,0.000168007365442901
ps_calc_11,0,0.0
ps_calc_15_bin,0,0.0
ps_car_13,0,0.0
ps_calc_19_bin,0,0.0
ps_calc_18_bin,0,0.0
ps_car_15,0,0.0
ps_calc_01,0,0.0
ps_calc_17_bin,0,0.0
ps_calc_02,0,0.0
ps_calc_16_bin,0,0.0
ps_calc_14,0,0.0
ps_calc_10,0,0.0
ps_calc_13,0,0.0
ps_calc_03,0,0.0
ps_calc_04,0,0.0
ps_calc_05,0,0.0
ps_calc_06,0,0.0
ps_calc_12,0,0.0
ps_calc_08,0,0.0
ps_calc_09,0,0.0
ps_calc_07,0,0.0
id,0,0.0
ps_car_11_cat,0,0.0
ps_car_10_cat,0,0.0
ps_ind_01,0,0.0
ps_ind_03,0,0.0
ps_ind_06_bin,0,0.0
ps_ind_07_bin,0,0.0
ps_ind_08_bin,0,0.0
ps_ind_09_bin,0,0.0
ps_ind_10_bin,0,0.0
ps_ind_11_bin,0,0.0
ps_ind_12_bin,0,0.0
ps_ind_13_bin,0,0.0
ps_ind_14,0,0.0
ps_ind_15,0,0.0
ps_ind_16_bin,0,0.0
ps_ind_17_bin,0,0.0
ps_ind_18_bin,0,0.0
ps_reg_01,0,0.0
ps_reg_02,0,0.0
ps_car_04_cat,0,0.0
ps_car_06_cat,0,0.0
target,0,0.0
ps_car_08_cat,0,0.0
ps_calc_20_bin,0,0.0
